Week Ending Date,Game Type,Sales Amount
04/11/2020,Lotto,1349927.50
04/11/2020,Instant,4830875.00
04/11/2020,Instaplay,394357.00
04/18/2020,Lotto,1377190.50
04/18/2020,Instant,5445132.00
04/18/2020,Pulltab,834961.03
04/18/2020,Instaplay,494777.00
04/25/2020,Lotto,1411146.50
04/25/2020,Instant,5519020.00
04/25/2020,Pulltab,13500.00
04/25/2020,Instaplay,562695.00
05/02/2020,Lotto,1504080.50
05/02/2020,Instant,5833116.00
05/02/2020,Pulltab,14040.00
05/02/2020,Instaplay,593021.00
05/09/2020,Lotto,1589704.50
05/09/2020,Instant,6381000.00
05/09/2020,Instaplay,625509.00
05/16/2020,Lotto,1655833.00
05/16/2020,Instant,6403265.00
05/16/2020,Pulltab,792450.00
05/16/2020,Instaplay,678025.00
05/23/2020,Lotto,1721205.00
05/23/2020,Instant,6710261.00
05/23/2020,Pulltab,72630.00
05/23/2020,Instaplay,415428.00
05/30/2020,Lotto,1759981.00
05/30/2020,Instant,6364706.00
05/30/2020,Pulltab,155650.28
05/30/2020,Instaplay,439449.00
06/06/2020,Lotto,1917838.50
06/06/2020,Instant,6224066.00
06/06/2020,Pulltab,67905.00
06/06/2020,Instaplay,418199.00
06/13/2020,Lotto,1712881.50
06/13/2020,Instant,7820606.00
06/13/2020,Pulltab,68985.00
06/13/2020,Instaplay,370641.00
06/20/2020,Lotto,1391451.50
06/20/2020,Instant,5744197.00
06/20/2020,Pulltab,866520.25
06/20/2020,Instaplay,446045.00
06/27/2020,Lotto,1421329.50
06/27/2020,Instant,5972668.00
06/27/2020,Pulltab,22435.50
06/27/2020,Instaplay,445200.00
07/04/2020,Lotto,1457609.50
07/04/2020,Instant,6467038.00
07/04/2020,Pulltab,52110.00
07/04/2020,Instaplay,415849.00
07/11/2020,Lotto,1480642.00
07/11/2020,Instant,5235466.00
07/11/2020,Pulltab,230310.00
07/11/2020,Instaplay,424929.00
07/18/2020,Lotto,1525475.50
07/18/2020,Instant,4964885.00
07/18/2020,Pulltab,144585.00
07/18/2020,Instaplay,510754.00
07/25/2020,Lotto,1567830.50
07/25/2020,Instant,5086951.00
07/25/2020,Pulltab,749790.00
07/25/2020,Instaplay,718589.00
08/01/2020,Lotto,1529670.00
08/01/2020,Instant,6396201.00
08/01/2020,Pulltab,20177.01
08/01/2020,Instaplay,774024.00
08/08/2020,Lotto,1571764.00
08/08/2020,Instant,5236594.00
08/08/2020,Pulltab,154170.00
08/08/2020,Instaplay,488950.00
08/15/2020,Lotto,1311847.50
08/15/2020,Instant,4660111.00
08/15/2020,Pulltab,145665.00
08/15/2020,Instaplay,392994.00
08/22/2020,Lotto,1349851.00
08/22/2020,Instant,5481221.00
08/22/2020,Pulltab,530401.24
08/22/2020,Instaplay,555135.00
08/29/2020,Lotto,1374542.50
